6	6	
3	2	7
4	11	2
7	14	7
12	3	18
14	8	2
17	18	16
19	3	15
20	17	10
24	12	7
27	16	8
31	1	7
34	13	9
37	6	7
38	5	10
42	1	2
42	7	10
46	9	1
47	8	10
52	18	16
54	8	0
58	6	16
58	1	20
62	8	20
66	12	1
66	8	12
69	13	14
73	16	1
75	19	18
80	5	6
82	6	7
85	15	5
85	10	3
85	11	16
90	17	1
94	6	6
95	4	12
96	14	7
99	6	3
101	1	4
103	19	7
105	17	19
109	14	13
111	19	15
115	17	8
116	13	13
119	14	8
123	5	19
125	7	10
128	1	7
129	11	19
132	11	1
133	14	0
134	16	18
139	17	1
141	4	0
142	19	5
144	17	17
146	3	10
147	12	5
150	11	10
155	8	18
156	0	18
159	3	14
164	18	2
168	5	3
171	6	10
174	5	19
174	10	14
177	11	5
181	10	5
185	2	0
189	12	8
191	3	3
193	7	0
195	17	10
199	2	8
203	16	5
205	10	11
207	6	7
210	8	17
212	8	3
213	14	7
216	1	10
219	15	16
223	16	5
224	13	6
226	8	18
227	18	13
232	8	18
234	2	18
235	4	14
237	2	12
239	18	7
240	4	17
242	5	18
246	7	4
246	9	10
249	2	7
252	18	7
255	9	1
0	0	0
